Time [hh:mm:ss];Hr [bpm];SpO2 [%];Temperature [°C];Information;Runtime[ms]
12:39:31;85.8; 96.10; 38.40;TEMP_TOO_HIGH;96
12:39:32;87.6; 98.00; 38.20;TEMP_TOO_HIGH;97
12:39:33;88.4; 94.20; 39.70;TEMP_TOO_HIGH;98
12:39:34;87.4; 94.40; 38.40;TEMP_TOO_HIGH;99
12:39:35;84.9; 98.80; 40.70;TEMP_TOO_HIGH;100
12:39:36;87.7; 96.20; 39.40;TEMP_TOO_HIGH;101
12:39:37;85.7; 96.40; 38.90;TEMP_TOO_HIGH;102
12:39:38;85.9; 98.00; 41.00;TEMP_TOO_HIGH;103
12:39:39;89.7; 95.70; 39.60;TEMP_TOO_HIGH;104
12:39:40;84.1; 97.80; 38.30;TEMP_TOO_HIGH;105
12:39:41;91.7; 97.30; 40.70;HR_TOO_HIGH|TEMP_TOO_HIGH;106
12:39:42;92.1; 98.20; 41.00;HR_TOO_HIGH|TEMP_TOO_HIGH;107
12:39:43;90.0; 97.60; 38.10;TEMP_TOO_HIGH;108
12:39:44;88.0; 98.60; 39.50;TEMP_TOO_HIGH;109
12:39:45;90.7; 95.50; 38.10;HR_TOO_HIGH|TEMP_TOO_HIGH;110
12:39:46;84.3; 96.30; 39.70;TEMP_TOO_HIGH;111
12:39:47;91.6; 97.30; 39.20;HR_TOO_HIGH|TEMP_TOO_HIGH;112
12:39:48;86.2; 95.80; 38.70;TEMP_TOO_HIGH;113
12:39:49;90.1; 97.30; 39.40;HR_TOO_HIGH|TEMP_TOO_HIGH;114
12:39:50;91.7; 97.10; 38.50;HR_TOO_HIGH|TEMP_TOO_HIGH;115
12:39:51;89.1; 95.20; 41.00;TEMP_TOO_HIGH;116
12:39:52;92.0; 95.20; 39.10;HR_TOO_HIGH|TEMP_TOO_HIGH;117
12:39:53;84.7; 98.80; 39.80;TEMP_TOO_HIGH;118
12:39:54;92.8; 97.20; 39.70;HR_TOO_HIGH|TEMP_TOO_HIGH;119
12:39:55;93.1; 94.20; 39.90;HR_TOO_HIGH|TEMP_TOO_HIGH;120
12:43:40;91.1; 94.70; 39.80;HR_TOO_HIGH|TEMP_TOO_HIGH;344
12:43:41;94.0; 97.20; 40.90;HR_TOO_HIGH|TEMP_TOO_HIGH;345
12:43:42;89.6; 96.80; 39.80;TEMP_TOO_HIGH;346
12:43:43;84.2; 98.10; 39.20;TEMP_TOO_HIGH;347
12:43:45;84.3; 98.80; 40.00;TEMP_TOO_HIGH;349
12:43:46;92.4; 98.80; 39.10;HR_TOO_HIGH|TEMP_TOO_HIGH;350
12:43:47;86.9; 98.40; 40.60;TEMP_TOO_HIGH;351
12:43:48;89.0; 96.00; 38.50;TEMP_TOO_HIGH;352
12:43:49;92.5; 97.50; 38.30;HR_TOO_HIGH|TEMP_TOO_HIGH;353
12:43:50;84.8; 94.90; 40.00;TEMP_TOO_HIGH;354
12:43:51;90.1; 95.80; 39.40;HR_TOO_HIGH|TEMP_TOO_HIGH;355
12:43:52;91.2; 95.40; 40.30;HR_TOO_HIGH|TEMP_TOO_HIGH;356
13:05:53;84.8; 99.00; 41.00;TEMP_TOO_HIGH;1676
13:05:54;89.3; 97.90; 38.60;TEMP_TOO_HIGH;1677
13:05:55;93.3; 95.50; 38.30;HR_TOO_HIGH|TEMP_TOO_HIGH;1678
13:05:56;93.9; 96.80; 40.00;HR_TOO_HIGH|TEMP_TOO_HIGH;1679
13:05:57;90.0; 95.20; 38.50;TEMP_TOO_HIGH;1680
13:05:58;92.1; 96.70; 41.00;HR_TOO_HIGH|TEMP_TOO_HIGH;1681
13:05:59;84.7; 98.80; 39.50;TEMP_TOO_HIGH;1682
13:06:00;87.0; 97.50; 38.40;TEMP_TOO_HIGH;1683
13:06:01;90.6; 97.60; 38.20;HR_TOO_HIGH|TEMP_TOO_HIGH;1684
13:06:02;90.3; 97.00; 39.60;HR_TOO_HIGH|TEMP_TOO_HIGH;1685
13:06:03;91.6; 95.60; 39.20;HR_TOO_HIGH|TEMP_TOO_HIGH;1686
13:06:04;91.3; 98.80; 39.90;HR_TOO_HIGH|TEMP_TOO_HIGH;1687
13:06:05;85.8; 94.50; 39.20;TEMP_TOO_HIGH;1688
13:06:06;90.4; 94.30; 38.60;HR_TOO_HIGH|TEMP_TOO_HIGH;1689
13:06:07;87.6; 98.40; 38.70;TEMP_TOO_HIGH;1690
13:06:08;85.8; 96.60; 39.80;TEMP_TOO_HIGH;1691
13:06:09;85.5; 97.20; 40.10;TEMP_TOO_HIGH;1692
13:06:11;86.4; 97.10; 40.80;TEMP_TOO_HIGH;1694
13:06:12;90.9; 97.50; 40.40;HR_TOO_HIGH|TEMP_TOO_HIGH;1695
13:06:13;89.8; 96.40; 39.80;TEMP_TOO_HIGH;1696
13:06:14;93.0; 98.70; 40.50;HR_TOO_HIGH|TEMP_TOO_HIGH;1697
13:06:15;89.9; 97.50; 38.10;TEMP_TOO_HIGH;1698
13:06:16;89.8; 97.20; 40.90;TEMP_TOO_HIGH;1699
13:06:17;87.5; 94.00; 39.70;TEMP_TOO_HIGH;1700
13:06:18;84.2; 95.30; 39.00;TEMP_TOO_HIGH;1701
